ID,ProjectID,TenderID,AfficheType,TenderNo,TenderName,TendererName,PublishStartTime,PublishEndTime,IsPublished,CreateTime,ClickTimes,ProType,ProTypeStr,InArea,CodeName,InAreaDisp,AreaCategory,ArrangeType,ProClass,address,PlaceName,url,抽取信息,下浮率X,系数抽取模式,基准价下浮值,最高限价下浮值,调整系数r
A33784C2-08C7-4596-A0F4-08DD0EFE7F7A,fb573e48-98e0-4c07-a9b3-75aa28efda97,048d6a96-e138-4a7d-a69b-58498ab8cafd,2,A3301820190980013001251,建德市乾潭镇胥溪综合治理三期工程二标段,建德市乾潭镇人民政府,2023/5/6 8:45,,1,2023/4/14 8:55,,360,林水项目,86,建德,,,,102,,建德-第一开标室,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=A33784C2-08C7-4596-A0F4-08DD0EFE7F7A&tenderID=048d6a96-e138-4a7d-a69b-58498ab8cafd&ModuleID=486,下浮率X：8,8,,,,
D9EDB72F-17B9-4F38-B511-7D38943CBBA3,9f7c08fb-d529-4679-bf8d-a3a43ae38009,2F1BAC5E-F814-4B2E-B1A5-811A63A20F01,2,A3301100140506973001211,余杭区消防指挥中心及特勤消防站项目,杭州市余杭区消防救援大队,2023/6/20 9:30,,1,2023/5/25 10:49,,925,施工项目,10084,余杭,,,,95,,余杭1号开标室,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=D9EDB72F-17B9-4F38-B511-7D38943CBBA3&tenderID=2F1BAC5E-F814-4B2E-B1A5-811A63A20F01&ModuleID=486,,,,,,
B464CCAE-5E5D-4B3A-9766-93A64A1BB9C7,8cf52c72-0e12-46f1-986c-5b41e1dcf664,E26B0921-7AF9-489B-84AB-D5A308B17791,2,A3301010060506904001211,杭州担保集团大厦基础设施改造及办公用房装修改造工程,杭州市融资担保集团有限公司,2023/6/20 9:30,,1,2023/5/29 9:48,,925,施工项目,72,市本级,,,,95,,第3开标室,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=B464CCAE-5E5D-4B3A-9766-93A64A1BB9C7&tenderID=E26B0921-7AF9-489B-84AB-D5A308B17791&ModuleID=486,,,,,,
3115BD22-4E67-4490-BB5A-74A5D036DEE4,b4c979f1-52d5-447b-a007-9633e9ddff65,ac4a9502-b168-4a9b-8ee8-e8703636990d,2,A3301270160980051001251,杭州市特别生态功能区共同富裕城乡供水设施提升建设工程（一期）—宋村水厂新建项目,淳安县农村饮用水管理有限公司,2023/4/27 8:45,,1,2023/4/6 17:22,,360,林水项目,89,淳安,,,,102,,淳安-第三开标室,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=3115BD22-4E67-4490-BB5A-74A5D036DEE4&tenderID=ac4a9502-b168-4a9b-8ee8-e8703636990d&ModuleID=486,系数抽取模式：模式一；基准价下浮值：2.5,,模式一,2.5,,
74376FC2-FD01-4045-BF0A-656EC7BC8A3E,98796ca3-e220-4e1e-9241-53513a098541,C2671E14-A098-4DC0-9C95-CED7B2358D91,2,A3301010060400119001281,拱康路等绿地养护,杭州市拱墅区综合行政执法局,2023/6/20 9:30,,1,2023/5/25 11:19,,355,园林绿化项目,72,市本级,,,,99,,第8开标室,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=74376FC2-FD01-4045-BF0A-656EC7BC8A3E&tenderID=C2671E14-A098-4DC0-9C95-CED7B2358D91&ModuleID=486,,,,,,
6F1DB166-0D8B-474A-9066-6C8BFB683B3D,1c2d7714-0996-42ea-9ce1-59799e54458b,2544849C-4D62-4A10-B9EA-E8227744BB0B,2,A3301010060400121001281,留下入城口等绿地养护项目,杭州市西湖区城市管理局,2023/6/20 9:30,,1,2023/5/30 16:34,,355,园林绿化项目,72,市本级,,,,99,,第10开标室,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=6F1DB166-0D8B-474A-9066-6C8BFB683B3D&tenderID=2544849C-4D62-4A10-B9EA-E8227744BB0B&ModuleID=486,,,,,,
23CFC7D9-9552-48A9-BFF0-7A951ABAFB7A,f7d541fa-5094-4cb0-b890-dfc0fb6831a3,6e8fda1c-1c5a-4df4-8a4b-10102cefa6da,2,A3301080120190009001291,咏滨名邸前期物业管理,杭州伟星星悦置业有限公司,2023/6/20 9:30,,1,2023/5/24 16:21,,357,物业项目,73,高新,,,,860,,滨江开标室1-2404,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=23CFC7D9-9552-48A9-BFF0-7A951ABAFB7A&tenderID=6e8fda1c-1c5a-4df4-8a4b-10102cefa6da&ModuleID=486,,,,,,
13178227-1DCE-4992-A301-63C1FBD61854,d37f2ea5-1d46-417e-93ee-ef987c15b734,672e058c-b846-4d21-80cc-f4fb799a75a8,2,A3301270160980049001251,杭州市特别生态功能区共同富裕城乡供水设施提升建设工程（一期）-河村水厂新建项目,淳安县农村饮用水管理有限公司,2023/4/10 8:45,,1,2023/3/20 11:42,,360,林水项目,89,淳安,,,,102,,淳安-第三开标室,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=13178227-1DCE-4992-A301-63C1FBD61854&tenderID=672e058c-b846-4d21-80cc-f4fb799a75a8&ModuleID=486,系数抽取模式：模式一；基准价下浮值：1.5,,模式一,1.5,,
80040C05-E565-4AFC-AE76-B0F88458396C,d2dc8ef2-6203-464e-89c6-9972bd7eaf83,4988DBFC-76B7-42F6-9E3D-896703D40BDA,2,A3301010060400124001281,GS1303-15/16地块绿地,杭州市运河综合保护开发建设集团有限责任公司,2023/6/20 9:00,,1,2023/5/30 15:30,,355,园林绿化项目,72,市本级,,,,99,,第9开标室,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=80040C05-E565-4AFC-AE76-B0F88458396C&tenderID=4988DBFC-76B7-42F6-9E3D-896703D40BDA&ModuleID=486,,,,,,
431C69FB-44AB-46AD-9E77-AEBE282EDD04,85d82822-76da-43d4-8abf-8730df3bd570,991351C6-4C1E-4F39-993F-305E6C3364DA,2,A3301220150507015001221,钟山乡田园综合体提升改造项目,桐庐县美丽乡村建设投资有限公司,2023/6/20 9:00,,1,2023/5/30 14:15,,925,施工项目,88,桐庐,,,,95,,桐庐-2号开标大厅,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=431C69FB-44AB-46AD-9E77-AEBE282EDD04&tenderID=991351C6-4C1E-4F39-993F-305E6C3364DA&ModuleID=486,,,,,,
